date,url,status,message
"2026-05-25T12:22:20.733Z","https://dsdepannage.fr/paris/porte-claquee-cle-interieur-paris-8e.html","OK","URL_UPDATED envoye"
"2026-05-25T12:22:21.431Z","https://dsdepannage.fr/paris/porte-claquee-cle-interieur-paris-9e.html","OK","URL_UPDATED envoye"
"2026-05-25T12:22:22.267Z","https://dsdepannage.fr/paris/porte-claquee-cle-interieur-paris-10e.html","OK","URL_UPDATED envoye"
"2026-05-25T12:22:23.088Z","https://dsdepannage.fr/paris/porte-claquee-cle-interieur-paris-11e.html","OK","URL_UPDATED envoye"
"2026-05-25T12:22:23.906Z","https://dsdepannage.fr/paris/porte-claquee-cle-interieur-paris-12e.html","OK","URL_UPDATED envoye"
"2026-05-25T12:22:24.724Z","https://dsdepannage.fr/paris/porte-claquee-cle-interieur-paris-13e.html","OK","URL_UPDATED envoye"
"2026-05-25T12:22:25.458Z","https://dsdepannage.fr/paris/porte-claquee-cle-interieur-paris-14e.html","OK","URL_UPDATED envoye"
"2026-05-25T12:22:26.261Z","https://dsdepannage.fr/paris/porte-claquee-cle-interieur-paris-15e.html","OK","URL_UPDATED envoye"
"2026-05-25T12:22:27.114Z","https://dsdepannage.fr/paris/porte-claquee-cle-interieur-paris-16e.html","OK","URL_UPDATED envoye"
"2026-05-25T12:22:27.756Z","https://dsdepannage.fr/paris/porte-claquee-cle-interieur-paris-17e.html","OK","URL_UPDATED envoye"
"2026-05-25T12:22:28.407Z","https://dsdepannage.fr/paris/porte-claquee-cle-interieur-paris-18e.html","OK","URL_UPDATED envoye"
"2026-05-25T12:22:29.143Z","https://dsdepannage.fr/paris/porte-claquee-cle-interieur-paris-19e.html","OK","URL_UPDATED envoye"
"2026-05-25T12:22:29.878Z","https://dsdepannage.fr/paris/porte-claquee-cle-interieur-paris-20e.html","OK","URL_UPDATED envoye"
"2026-05-25T12:22:30.619Z","https://dsdepannage.fr/paris/ouverture-porte-fermee-cle-paris-1er.html","OK","URL_UPDATED envoye"
"2026-05-25T12:22:31.357Z","https://dsdepannage.fr/paris/ouverture-porte-fermee-cle-paris-2e.html","OK","URL_UPDATED envoye"
"2026-05-25T12:22:32.042Z","https://dsdepannage.fr/paris/ouverture-porte-fermee-cle-paris-3e.html","OK","URL_UPDATED envoye"
"2026-05-25T12:22:32.820Z","https://dsdepannage.fr/paris/ouverture-porte-fermee-cle-paris-4e.html","OK","URL_UPDATED envoye"
"2026-05-25T12:22:33.540Z","https://dsdepannage.fr/paris/ouverture-porte-fermee-cle-paris-5e.html","OK","URL_UPDATED envoye"
"2026-05-25T12:22:34.163Z","https://dsdepannage.fr/paris/ouverture-porte-fermee-cle-paris-6e.html","OK","URL_UPDATED envoye"
"2026-05-25T12:22:34.969Z","https://dsdepannage.fr/paris/ouverture-porte-fermee-cle-paris-7e.html","OK","URL_UPDATED envoye"
"2026-05-25T12:22:35.625Z","https://dsdepannage.fr/paris/ouverture-porte-fermee-cle-paris-8e.html","OK","URL_UPDATED envoye"
"2026-05-25T12:22:36.333Z","https://dsdepannage.fr/paris/ouverture-porte-fermee-cle-paris-9e.html","OK","URL_UPDATED envoye"
"2026-05-25T12:22:37.117Z","https://dsdepannage.fr/paris/ouverture-porte-fermee-cle-paris-10e.html","OK","URL_UPDATED envoye"
"2026-05-25T12:22:37.796Z","https://dsdepannage.fr/paris/ouverture-porte-fermee-cle-paris-11e.html","OK","URL_UPDATED envoye"
"2026-05-25T12:22:38.552Z","https://dsdepannage.fr/paris/ouverture-porte-fermee-cle-paris-12e.html","OK","URL_UPDATED envoye"
"2026-05-25T12:22:39.285Z","https://dsdepannage.fr/paris/ouverture-porte-fermee-cle-paris-13e.html","OK","URL_UPDATED envoye"
"2026-05-25T12:22:40.018Z","https://dsdepannage.fr/paris/ouverture-porte-fermee-cle-paris-14e.html","OK","URL_UPDATED envoye"
"2026-05-25T12:22:40.677Z","https://dsdepannage.fr/paris/ouverture-porte-fermee-cle-paris-15e.html","OK","URL_UPDATED envoye"
"2026-05-25T12:22:41.360Z","https://dsdepannage.fr/paris/ouverture-porte-fermee-cle-paris-16e.html","OK","URL_UPDATED envoye"
"2026-05-25T12:22:42.134Z","https://dsdepannage.fr/paris/ouverture-porte-fermee-cle-paris-17e.html","OK","URL_UPDATED envoye"
"2026-05-25T12:22:42.956Z","https://dsdepannage.fr/paris/ouverture-porte-fermee-cle-paris-18e.html","OK","URL_UPDATED envoye"
"2026-05-25T12:22:43.771Z","https://dsdepannage.fr/paris/ouverture-porte-fermee-cle-paris-19e.html","OK","URL_UPDATED envoye"
"2026-05-25T12:22:44.595Z","https://dsdepannage.fr/paris/ouverture-porte-fermee-cle-paris-20e.html","OK","URL_UPDATED envoye"
"2026-05-25T12:22:45.318Z","https://dsdepannage.fr/paris/ouverture-porte-fichet-paris-1er.html","OK","URL_UPDATED envoye"
"2026-05-25T12:22:46.128Z","https://dsdepannage.fr/paris/ouverture-porte-fichet-paris-2e.html","OK","URL_UPDATED envoye"
